mid,mname,keggid,nc
HMDB0000001,1-Methylhistidine,C01152,7.7
HMDB0000002,"1,3-Diaminopropane",C00986,0.04
HMDB0000005,2-Ketobutyric acid,C00109,3.33
HMDB0000008,2-Hydroxybutyric acid,C05984,44
HMDB0000010,2-Methoxyestrone,C05299,0.005
HMDB0000011,3-Hydroxybutyric acid,C01089,60
HMDB0000012,Deoxyuridine,C00526,0.1
HMDB0000014,Deoxycytidine,C00881,0.2
HMDB0000015,Cortexolone,C05488,0.0039
HMDB0000016,Deoxycorticosterone,C03205,10.591
HMDB0000017,4-Pyridoxic acid,C00847,0.027
HMDB0000019,alpha-Ketoisovaleric acid,C00141,14
HMDB0000020,p-Hydroxyphenylacetic acid,C00642,6.346
HMDB0000021,Iodotyrosine,C02515,0.00069
HMDB0000022,3-Methoxytyramine,C05587,0.0025
HMDB0000023,(S)-3-Hydroxyisobutyric acid,C06001,21
HMDB0000024,,,0.205
HMDB0000026,Ureidopropionic acid,C02642,0
HMDB0000027,Tetrahydrobiopterin,C00272,0.011
HMDB0000030,Biotin,C00120,0.0034
HMDB0000031,Androsterone,C00523,0.00065
HMDB0000032,7-Dehydrocholesterol,C01164,0.65
HMDB0000033,Carnosine,C00386,0.05
HMDB0000034,Adenine,C00147,0.3
HMDB0000036,Taurocholic acid,C05122,9910
HMDB0000037,Aldosterone,C01780,0.00486
HMDB0000038,Dihydrobiopterin,C02953,0.006
HMDB0000039,Butyric acid,C00246,1
HMDB0000042,Acetic acid,C00033,30.4
HMDB0000043,,,67
HMDB0000044,Ascorbic acid,C01041,20.4
HMDB0000045,Adenosine monophosphate,C00020,5.1
HMDB0000048,,,0.1
HMDB0000050,Adenosine,C00212,0.505
HMDB0000051,Ammonia,C00014,50
HMDB0000052,Argininosuccinic acid,C03406,2
HMDB0000053,Androstenedione,C00280,0.0007
HMDB0000054,Bilirubin,C00486,13
HMDB0000056,beta-Alanine,C00099,3
HMDB0000058,Cyclic AMP,C00575,0.0085
HMDB0000060,Acetoacetic acid,C00164,21
HMDB0000061,"Adenosine 3',5'-diphosphate",C00054,137
HMDB0000062,L-Carnitine,C00318,29.74
HMDB0000063,Cortisol,C00735,0.287
HMDB0000064,Creatine,C00300,54.8
HMDB0000067,Cholesterol,C00187,11500
HMDB0000068,Epinephrine,C00788,0.00164
HMDB0000070,Pipecolic acid,C00408,4.65
HMDB0000071,Deoxyinosine,C05512,
HMDB0000072,cis-Aconitic acid,C00417,10.1
HMDB0000073,Dopamine,C03758,0.00013
HMDB0000076,Dihydrouracil,C00429,0.31
HMDB0000077,Dehydroepiandrosterone,C01227,0.00173
HMDB0000078,Cysteinylglycine,C01419,65.7
HMDB0000079,Dihydrothymine,C00906,1.1
HMDB0000082,Cytidine triphosphate,C00063,10
HMDB0000085,Deoxyguanosine,C00330,0
HMDB0000086,Glycerophosphocholine,C00670,34
HMDB0000087,Dimethylamine,C00543,20.18
HMDB0000089,Cytidine,C00475,0.25
HMDB0000092,Dimethylglycine,C01026,2.6
HMDB0000094,Citric acid,C00158,54.2
HMDB0000095,Cytidine monophosphate,C00055,1.27
HMDB0000097,Choline,C00114,6
HMDB0000098,D-Xylose,C00181,3088.7
HMDB0000099,L-Cystathionine,C02291,0.329
HMDB0000101,Deoxyadenosine,C00559,
HMDB0000107,Galactitol,C01697,0.7
HMDB0000108,Ethanol,C00469,40
HMDB0000112,gamma-Aminobutyric acid,C00334,0.11
HMDB0000115,Glycolic acid,C03547,123
HMDB0000118,Homovanillic acid,C05582,0.082
HMDB0000119,Glyoxylic acid,C00048,3.05
HMDB0000121,Folic acid,C00504,0.021
