mid,nc.unadj,nc
HMDB0000001,7.7 +/- 1.9,7.70000 
HMDB0000002,0.04 +/- 0.03,0.04000 
HMDB0000005,3.33 +/- 5.00,3.33000 
HMDB0000008,8.00-80.0,44.00000 
HMDB0000010,0.005 (0.004-0.006),0.00500 
HMDB0000011,60.0 +/- 20.0,60.00000 
HMDB0000012,<0.1,0.10000 
HMDB0000014,0.2 (0.0-0.5),0.20000 
HMDB0000015,0.0039 +/- 0.0004,0.00390 
HMDB0000016,10.591 +/- 1.997,10.59100 
HMDB0000017,0.027 (0.0062-3.14),0.02700 
HMDB0000019,14.0 (0.0-28.0),14.00000 
HMDB0000020,6.346 +/- 0.518,6.34600 
HMDB0000021,0.00069 +/- 0.00020,0.00069 
HMDB0000022,0.0025 (0.0016-0.0029),0.00250 
HMDB0000023,21.0 +/- 2.0,21.00000 
HMDB0000024,0.205 (0.07-0.34),0.20500 
HMDB0000026,0.0 - 0.5,0.00000 
HMDB0000027,0.0110 +/- 0.0008,0.01100 
HMDB0000030,0.0034 (0.002 - 0.0051),0.00340 
HMDB0000031,0.00065 (0.00053-0.00088),0.00065 
HMDB0000032,<0.65,0.65000 
HMDB0000033,0.00-0.10,0.05000 
HMDB0000034,0.3 +/-  0.1,0.30000 
HMDB0000036,9910 (9600-10220),9910.00000 
HMDB0000037,0.000139-0.00486,0.00486 
HMDB0000038,0.006 +/- 0.0003,0.00600 
HMDB0000039,1.0 (0.3- 1.5),1.00000 
HMDB0000042,30.4 (22.0-40.0),30.40000 
HMDB0000043,26-67,67.00000 
HMDB0000044,20.4 +/- 12.21,20.40000 
HMDB0000045,5.1+/- 1.3,5.10000 
HMDB0000048,< 0.1,0.10000 
HMDB0000050,0.505 +/- 0.142,0.50500 
HMDB0000051,<50,50.00000 
HMDB0000052,<2,2.00000 
HMDB0000053,0.000698,0.00070 
HMDB0000054,13.0 (5.0-21.0),13.00000 
HMDB0000056,3.0 (1.3-20.0),3.00000 
HMDB0000058,0.0085 +/- 0.0005,0.00850 
HMDB0000060,21.0 (0.0-86.0),21.00000 
HMDB0000061,137,137.00000 
HMDB0000062,29.74 +/- 7.55,29.74000 
HMDB0000063,0.287 +/- 0.099,0.28700 
HMDB0000064,54.8 +/-  21.0,54.80000 
HMDB0000067,11500(10000-13000),11500.00000 
HMDB0000068,0.00164 +/- 0.00012,0.00164 
HMDB0000070,4.65 (2.24 - 8.40),4.65000 
HMDB0000072,10.1 +/- 3.1,10.10000 
HMDB0000073,< 0.00013,0.00013 
HMDB0000076,0.31 (0.02-1.63),0.31000 
HMDB0000077,0.00173-0.0264,0.00173 
HMDB0000078,65.7 +/- 4.6,65.70000 
HMDB0000079,1.1 +/- 0.3,1.10000 
HMDB0000082,10,10.00000 
HMDB0000085,0,0.00000 
HMDB0000086,34.0 +/- 5.0,34.00000 
HMDB0000087,20.18 (3.33-53.22),20.18000 
HMDB0000089,0.25 +/- 0.19,0.25000 
HMDB0000092,2.60 ,2.60000 
HMDB0000094,54.2 +/- 0.8,54.20000 
