Colorectal cancer,,,,,ab_c
1-Methyladenosine,HMDB0003331,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,Blood,0.134 +/- 0.111uM,0.134
Acetic acid,HMDB0000042,CC(O)=O,Feces,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Feces,Not Specified,
Butyric acid,HMDB0000039,CCCC(O)=O,Feces,Not Specified,
L-Cysteine,HMDB0000574,N[C@@H](CS)C(O)=O,Feces,Not Specified,
D-Glutamic acid,HMDB0003339,N[C@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
Propionic acid,HMDB0000237,CCC(O)=O,Feces,Not Specified,
Acetic acid,HMDB0000042,CC(O)=O,Feces,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Feces,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Phenylacetic acid,HMDB0000209,OC(=O)CC1=CC=CC=C1,Feces,Not Specified,
Butyric acid,HMDB0000039,CCCC(O)=O,Feces,Not Specified,
Elaidic acid,HMDB0000573,CCCCCCCC\C=C\CCCCCCCC(O)=O,Feces,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Glycerol,HMDB0000131,OCC(O)CO,Feces,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Feces,Not Specified,
Isobutyric acid,HMDB0001873,CC(C)C(O)=O,Feces,Not Specified,
Isovaleric acid,HMDB0000718,CC(C)CC(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
Myristic acid,HMDB0000806,CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Oleic acid,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Pantothenic acid,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Feces,Not Specified,
L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
