Obesity,,,,ab_c
1-Methylhistidine,HMDB0000001,CN1C=NC(C[C@H](N)C(O)=O)=C1,10.9 +/- 10.1uM,
3-Methylhistidine,HMDB0000479,[H][C@](N)(CC1=CN=CN1C)C(O)=O,16.0 +/- 9.0uM,10.9
3-Hydroxybutyric acid,HMDB0000011,C[C@@H](O)CC(O)=O,235.0 +/- 17.0uM,16
Estrone sulfate,HMDB0001425,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O,0.002 (0.0014-0.003)uM,235
GlcCer(d18:1/12:0),HMDB0004969,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCCCCCC,4.3 (2.9-5.0)uM,0.002
Pyridoxine 5'-phosphate,HMDB0001319,CC1=NC=C(COP(O)(O)=O)C(CO)=C1O,0.003 (0.0-0.01)uM,4.3
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Not Specified,0.003
Pantothenic acid,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Not Specified,
N-Acetyl-L-aspartic acid,HMDB0000812,CC(=O)N[C@@H](CC(O)=O)C(O)=O,Not Specified,
"3,7-Dimethyluric acid",HMDB0001982,CN1C(=O)NC2=C1C(=O)NC(=O)N2C,Not Specified,
Vaccenic acid,HMDB0003231,CCCCCC\C=C\CCCCCCCCCC(O)=O,Not Specified,
Arginylproline,HMDB0028717,N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(O)=O,Not Specified,
Leucyl-Valine,HMDB0028942,CC(C)CC(N)C(=O)NC(C(C)C)C(O)=O,Not Specified,
beta-Carotene,HMDB0000561,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,0.201 +/- 0.180uM,
